INFO  - 2017-08-10 10:35:19.192; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-08-10 10:35:19.193; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.201; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-08-10 10:35:19.203; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2017-08-10 10:35:19.204; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2017-08-10 10:35:19.205; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-08-10 10:35:19.208; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-08-10 10:35:19.210; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-08-10 10:35:19.211; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-08-10 10:35:19.211; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-08-10 10:35:19.212; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-08-10 10:35:19.219; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-08-10 10:35:19.225; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-08-10 10:35:19.230; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-08-10 10:35:19.271; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-08-10 10:35:19.272; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.274; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.275; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.286; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.287; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.288; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.289; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.290; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.291; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.292; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-08-10 10:35:19.364; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-08-10 10:35:19.370; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-08-10 10:35:19.373; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-08-10 10:35:19.432; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-08-10 10:35:19.433; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-08-10 10:35:19.491; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\solr-4.9.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\solr-4.9.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-08-10 10:35:19.492; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-08-10 10:35:19.532; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3cb7e0c4[collection1] main
INFO  - 2017-08-10 10:35:19.585; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2017-08-10 10:35:19.586; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\solr-4.9.1\example\solr\collection1\conf\}
INFO  - 2017-08-10 10:35:19.591; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
WARN  - 2017-08-10 10:35:19.593; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2017-08-10 10:35:19.594; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2017-08-10 10:35:19.596; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2017-08-10 10:35:19.599; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2017-08-10 10:35:19.661; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2017-08-10 10:35:19.663; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2017-08-10 10:35:19.665; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2017-08-10 10:35:19.666; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2017-08-10 10:35:19.670; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2017-08-10 10:35:19.677; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2017-08-10 10:35:19.678; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2017-08-10 10:35:19.682; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2017-08-10 10:35:19.693; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2017-08-10 10:35:19.694; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-08-10 10:35:19.716; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-08-10 10:35:19.736; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-08-10 10:35:19.744; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2017-08-10 10:35:19.752; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2017-08-10 10:35:19.823; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2017-08-10 10:35:19.831; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\solr-4.9.1\example\solr\collection1\conf\elevate.xml
INFO  - 2017-08-10 10:35:19.918; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-08-10 10:35:19.920; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3cb7e0c4[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-08-10 10:35:19.921; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-08-10 10:35:19.959; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\solr-4.9.1\example
INFO  - 2017-08-10 10:35:19.960; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-08-10 10:35:20.054; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-08-10 10:35:20.077; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=125 
INFO  - 2017-08-10 10:35:20.079; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
